Review,Polarity
"Maybe finally Marvel has lost its way, after three very bad TV shows we now get this. A dull, lifeless, energy pulling mess of a film. As other have said no chemistry, no decent characters a waste of good actors who have a rubbish and talky script to content with, a grey dull look to the film. It was like wathcing a blank screen, you are seeing something in front of you but it is not saying or doing anything, it certainly not moving you in any way, and the repeated failed attempts at humour. The only thing it does, again in a bad way is tick of all the woke and pc boxes. I thought Wonder Woman 1984 was bad this made that look passable.",Neg
As a huge fan of Sci fi and past Marvel movies and series I can say with a sad heart that since the takeover by Disney and the sad passing of the late legend Stan Lee every production under the Marvel name has been Dreadful and this latest offering is no exception!,Neg
"The fact that 'Eternals (2021)' doesn't feel like a Marvel movie isn't an inherently good or bad thing. To me, it feels more distinct than most of the studio's other fare, but it isn't as entertaining. As a whole, the thing just feels a bit flat. It's messy, overly portentous and filled with some pretty baffling choices. Chief among these is the decision to have one of its characters straight-up disappear from the finale for no real reason, only to rear his head again just before the piece comes to a close. The ending (which includes two post-credits stings) is incredibly disappointing, evoking the exact opposite of its intended effect. There are plenty of other plot problems, too. They pale in comparison to the fact that most of the movie just feels fairly lifeless, though. It's pretty dull, to be honest. That being said, it does have its merits. Firstly, the cast are all really good despite the fact that they don't have much to work with. Ma Dong-Seok (here credited as Don Lee) is the obvious highlight, though he's criminally underused. Secondly, there are a handful of scenes which start to properly explore the interesting concepts inherent to the heroes' long-lasting lifespans. Unsurprisingly, the best of these involve actual conflict between the core characters and portray each player's different outlook on their unique situation. Sadly, most characters lack chemistry with one another and often seem isolated from the other people that share the frame with them. They aren't allowed to properly come to life, which is one of the biggest reasons that the piece just isn't all that compelling; we have nobody to care about. This also means that the movie feels as though it lacks real stakes, even though it's literally the entire Earth that's in danger. Without a character to latch onto, we simply don't give a second thought to the humans our heroes are trying to save. However, the feature is visually pleasing overall. The cinematography is suitably 'epic' and the various locations are presented with bold colours and distinct architecture. There are also a couple of entertaining, if slightly intangible, action sequences. The best of these, which is also the best portion of the entire affair, is a mid-point battle set in a remote village. For the most part, though, even the set-pieces fall short of the mark. Overall, this is a pretty disappointing film. It has a strange structure, a sloppy story and generally just feels a bit off. It's far too long, yet somehow not long enough; it would've been much better served as a mini-series. It has its moments, but it just isn't all that good. 5/10.",Neg
"Is this the best MCU movie yet? Not by a long shot. But they manage to establish the Eternals, Celestial, Eros, Black Knight, and Blade and still make it work.",Pos
"Well, I gave it a shot. Everything bad thing you have heard about this movie is TRUE. You care ZERO about the characters. Its like the writers and director were focusing on.......other things they thought were more important instead of good story telling, a good script, etc...",Neg
Personally 6.5/10,Pos
I personally feel like this movie is very underrated. It's not as jokey or flashy as any of the other Marvel movies but that's kind of why I like it. It felt less like a superhero movie and more like an art film about gods and what it does to your psyche when you live for such a long time on the planet that's not yours.,Pos
"Some will love it some will hate it, whichever category you're in you're lying out your back teeth saying this is either the worst or best MCU movie, at best this movie is a 5, at its worst its a 2,I've opted for the latter simply because this movie fails at pretty much everything it attempts:
story; lacklustre.",Neg
An excellent film that Marvel fans will love! Really enjoy all the characters and fight sequences. The story is really well written and moves at a good pace for being a longer film.,Pos
"Okay, bear with me since this will be a difficult review. I don't particularly think this was ruined by too many characters as Endgame had 31+ characters, but suffered from poor pacing, runtime, and the lack of character development. I have to say that I did not enjoy this film as I am not into mythology stuff. The first and second acts were painfully boring with a bit decent third act. Ajak was given nothing to her character. Sersi. I almost have no idea what to say about her, but her personality should have been interesting. For Ikaris, I was not interested in the romance between him and Sersi. The sex scene wasn't needed at all, although I am surprised that have gotten away from that in a PG-13 movie. He does have a few fun scenes where he speculates a table to be made out of vibranium, slams it which turned out it isn't. ""I don't wear a cape."" Kingo was a decent and fun character that I mostly enjoyed throughout the movie. He had an interesting character setting where he has a fondness for movies and modern technology as he is a famous Bollywood movie star, dancer, and director who has fun with humans. Karun was also a fun presence with great chemistry with Kingo. The stuff about him and filming a documentary was hilarious. For Sprite. Oh my god. I think she has to be my least favorite character in this movie, there isn't anything interesting about her, and she always whines. Phastos was not bad, but a decent character. I have to say that the 1945 scene was mentally heartbreaking commenting on how advancing technology can have brutal consequences. Druig. I do have big mixed feelings about him. He does somewhat have a character arc where he doesn't want the humans to have a conflict so he uses his powers to stop them, but is stopped by the group. Eventually, in the third act, he learns to not interfere with conflicts, but still, I don't like him either way. Makkari wasn't annoying like the others as she has a likable personality, lack of ability to speak. She's fun and has a great dynamic with the team. Also, I liked how they treated her speed ability. Thena does actually have somewhat of an interesting character arc where she can have episodes that make her go rogue against the team which leads her to go with Gilgamesh in order to make anything to not go worse. The scenes of her fighting with her weapons are quite entertaining. Overall, this is just meh.",Neg
"For the first 40 minutes I had no clue what, why, who, where and again what? The characters are written really badly and the story was a drag at times. The VFX was as good as any Marvels film but everything else was so bad that it doesn't deserve a watch especially the casting. Every single lead was bad. I can't digest Salma Hayek. She's the same person, talking like the same character for more than 2 decades with different clothes. Pathetic. Kunal nanjijkdjdhg should stop acting. I don't know if he is being realistic or sarcastic when he opens his mouth. I don't know if that little girl is actually little or a girl. There is no back story for the characters. I haven't read the comics, so I have no clue what I saw. Why not the next film have al chinese actors only because that's where marvels is headed to.",Neg
"This was a movie that when I was behind on watching the Marvel Cinematic Universe had me intrigued to jump in to watch. This was a comic line that I wasn't familiar with. It did look like they used mythology so that pulled my interest. This was a movie that I watched in parts while feeding my newborn daughter, Mackenzie, as well.",Pos
"The longest, boring, woke, PC sermon I have ever watched.",Neg
"Eternals (2021) :
Movie Review -",Neu
It has got to win Best Picture at the Oscars!,Pos
"Spite lived on Earth for thousands of years and speaks Spanish like she just took a middle school Spanish course. The jokes are flat. The acting is stilted. I'm surprised this is a Marvel movie. As WTH?!...Celestials are born out of planets that are populated to a certain point, but couldn't just wipe out the Deviants. It's such a strange choice for a movie plot. It is a bad movie. Such a disappointment.",Neg
"This is ranked as the least critically acclaimed MCU movie ever made and boy, can I see why. Having not liked ""Black Widow"" as much as I thought I would, I can easily say it's still better than this. This movie features the Eternals who were created thousands of years ago to protect the Earth from monsters called the Deviants. Halfway through, it's revealed their creators, the Celestials were planting seeds in the Earth as they must destroy planets to create a new Celestial. A planet must have a certain population before the Celestial seed can grow. Why didn't they intervene when Thanos destroyed half the Universe, seeing as how a reduced population would greatly hinder their plans?",Neg
"....just very different to all the other superhero/comic movies out there. This is not about any random villain fighting against the god guys, the backstory is a metaphor for Creation, god(s) and sacrifice in the form of Transformation. That makes it very different and gives it mich more depth than those other random CGI orgies. Highly recommend!",Pos
"After the events of Infinity War and Endgame, it was hard to see how any Marvel film could match those films' epic scope and stakes, yet in many ways, Eternals does so.",Pos
I was really excited for this movie and went to see this with good expectations but nothing went as expected.,Neg
"I went in with little to no expectations and I was pleasantly surprised by what the movie offered. Multiple relatively unknown new characters and their dynamics, their stories spanning centuries.",Pos
"Convoluted, confusing, all over the place and full of strange and weird creative decisions. 2h30 and it's still feels way undercooked.",Neg
"As a MCU fan, after one hour I was just so disappointed and bored. I couldn't believe someone approved this after all the movies who came before. Was expecting Marvel to have already figured out a formula for making an enjoyable movie for all kind of viewers, but wrong I was.",Neg
"The new MCU film introduces us to the Eternals, a group I knew absolutely nothing about going in... as well as a few other characters that pop up.. one of whom I was more familiar with. This is an interesting film, that opens up a bunch of new storylines for future films.. but the film itself... I feel like it was a bit of a misfire.. which is very rare for Marvel... the film contains a lot of world building stuff to set up the Eternals storyline which requires an awful lot of flashbacks and back story... which hampers the forward momentum of the main story... The cast is decent, Gemma Chan does most of the heavy lifting.. but they really waste Angelina Jolie and especially Salma Hayek in the film. It gets better in the last act but sadly this might be the weakest Marvel film since the MCU started.",Neg
"Who is the target audience, this is like 4hours long and just not interesting. It has too much c.g.i. This has so much going on you just feel like turning off as plot is a mess.",Neg
"Meaning if you're going to tell me character 'XX' doesn't represent character 'XX' in the comics... yeah, I just don't care. Better, I just don't know.",Neg
"This was the most unremarkable superhero movie I've seen. The writing was lazy, sloppy, clunky, convoluted, incoherent, and riddled with plot issues, especially with the dizzying and boring backstories. Aside from some decent S/VFX, there were zero ""wow"" moments. Rarely do I keep checking my watch to see how much more time I have to put up with this nonsense. Even the casting felt out of place, like anyone off the street can be made to look and act as a superhero. Jolie seemed bored. Gemma Chan and Richard Madden were the only convincing performances. Even each Eternal's superpower was lame, and confusing what exactly they can do (except Madden with his X-Men eye power). The one girl was a deaf Flash? It took four to five writers to come up with this slow-paced 156 min Eternally long and boring nonsense? What a waste of a budget. It's a 6/10 from me. Please, no part 2, and if it is a must, eliminate Chloé Zhao and the writers from the equation. Give it to Snyder.",Neg
"Pros:
1. The fight scenes are entertaining, full of action and well choreographed.",Pos
"The problem here is not the gender nor the personality or the orientation of the characters. I'm perfectly fine with that. The problem is watching a movie with so many storylines, background and flashbacks that finally succumbs to its own ambition. Another problem is having plenty of characters, all of them unknown (because if we at least know two or three of them it would be an extraordinary help) and not knowing even what to do with all of them properly. And one more problem is a pacing that doesn't help, and I'm someone who watched a lot of slow burners. Such a shame, because I wanted to like this and prove all their haters were wrong. Not the worst MCU movie to me, but -yeah- one of the worst.",Neg
"If you're looking for an action fest... kinda... and can ignore a story line that just drags on, boy are you gonna love this.",Neg
"Frankly I am not impressed after 45 minutes, and am going to bed...again, no character building at all other than a text intro you are supposed to read to have a clue what the movie is supposed to be about...and then the action and dialog never follows that intro...",Neg
"A vastly different entry into the MCU but one that took me for a ride. It's impressive feat to take on a 10 lead character based film, it's another thing to make you care about every single one of them. Chloe Zhao has already shown us her talent with smaller films, and it's even more telling on a massive MCU scale that she's here to stay. It's hard to say what the best 2021 MCU film is at this point but Eternals has certainly made it's stamp on me. I had a blast.",Pos
"But...... I'm glad I didn't. I saw so many things about this movie being overly ""woke"" and trying to spread itself too thin with all of the characters. I can honestly say I did not go in with high hopes. I felt like those reviews and articles almost stopped me from watching a movie that I really did enjoy. I think the ""boundaries"" pushed were not shoved and ended being tastefully handled. I also didn't feel lost in the amount of characters. We actually went as a group of 12, very different, people, all of which really enjoyed it. I hope nothing stops a sequel from being made because I am very interested in seeing what happens next.",Pos
We can see from the example of the Eternals that different does not always mean better.,Neg
"Probably this is the most beautiful MCU movie. Yeah, there are scenes that just must be seen on the big screen, and the fact that it was shot in real locations says enough about the size of the film. The big cosmic scenes will make you feel small. It's shot with a massive scope, looking visually different and intimate. Chloé Zhao has a really unique visual stamp. The cinematography is georgeous!",Pos
"I was excited to see this one. Sadly, that excitement ended fairly quickly! The movie is dark and ridiculous. There are plot holes. Things that should be explained once are repeatedly explained like we're all five years old and Mommy has to keep reminding us. It's just a ridiculous sidestep away from what we've come to expect from a Marvel Movie!",Neg
"Eternals (2021) is a movie my wife and I caught in theatres its opening weekend. The movie tells the tale of Eternal beings sent to Earth to protect it from entities known as deviants. Once they rid the world of deviants they live relatively normal lives among the humans who are now able to flourish. However, when deviants return to the Earth's surface the Eternals will need to get back together to protect humanity and uncover why they've returned.",Neu
"I think this movie got such a trash review because people thought it was too ""woke"" with casting. Which is nonsense by the way. That is how the real world is. It does have its flaws but it's not nearly as bad as people rate it. These 2 & 3 ratings are nonsense. Those people who wrote those might want to try watching movies from a long ways back were they did put out some good movies but also put out tons of trash. This is most certainly not trash. It's pretty good. Decent humor, good action and a good story. Pacing and some of the dialogue is subpar. I will Also say that its run time is a bit much. I actually enjoyed this movie though and I'm very much not disappointed or think that it was a waste of time. It's a very unique take on the internals. I will say that Sercy and Icarus chemistry could've been better. It has its flaws but if you want to sit back and watch a unique interpretation of a comic book Then give it a shot.",Pos
"It's not as bad as a lot of reviewers say, but it's not as good as it could be. It's pacing and mediocre characters are at fault, since you can't really relate to most of the things in the movie. It could have worked better as a TV series like Inhumans (which was not the best one either, but still), in which more time would have been used to draw out the characters and their relationships.",Neg
"There's nothing new here that you'll find, to fascinate, engage or spellbind, it goes on far too long, sub plots aren't that strong, irregular and far from streamlined - but there's some nice CGI and a guy from Avatar makes a guest appearance.",Neg
"Pretty average edition to a great franchise. The film felt directionless and underwhelming. The characters were uninteresting and hard to vouch for, and the best character was a fat Indian side kick. The effects look good, as does the cinematography, but that's a standard for Marvel filmmaking, it's the execution and momentum of the vision that fails.",Neg
Marvel is struggling to make back their budgets in this next chapter of the Cinematic Universe. This was a real chore to get through with the excessive runtime and half-baked ideas; it was both vacant and numbing.,Neg
"Eternals is a kind of movie you need some knowledge of Mesopotamian mythology and Hinduism. I am a Hindu and we believe in many gods and goddesses, and Eternals is about that myth that goes back 7000 to 8000 years and how the divine beings gave us knowledge to make progress. This was an enjoyable movie and the graphics were excellent. It was good to see Hindu gods in the ending credits, like Shiva.",Pos
"From start to finish this film, was a slow mess. Non stop time jumps that seemed unnecessary and confusing to the average viewers. Characters are the most uninteresting to enter the MCU. Acting from some of the actors seemed very bad and stiff. Hopefully the MCU gets it's act together after this film.",Neg
"First, to those who complained about the acting/cast, I guess we weren't watching the same movie, because that's the highlight of this film. Everyone put in a good performance. BUT... as I said, that's the highlight.",Neg
"Like the headline says, this should've been a series to focus on all of the characters instead of a movie trying to force all of the characters and backstories in. It confused the audience.",Neg
"Before the dawn of time a powerful group of immortal aliens descended upon Earth to protect humanity from the Deviants, but after being dormant for centuries they're brought back into action in the present day when a new threat re-emerges. Flashy, scenic, even touristy with some key historical context and filmmaking in-jokes, however the intended emotional moments about humanity's worthiness, evolution, blah-blah-blah...just don't have the desired impact. Clocking in at well over two hours, that still doesn't allow enough time to really forge a connection with many of the characters, thus there isn't much to propel the story forward despite all the various stops along the way; it doesn't bring much of anything new to the table or stand out from the MCU in any particular way. **",Neg
"Uninteresting characters and sub par acting. This was a movie where I felt truely bored. Maybe this movie was in production hell, but man this was pretty bad.",Neg
This is what Hollywood has come to.,Neg
"I was surprised when all the mixed reviews for Eternals started coming in. It had a good cast, an interesting premise, and of course was directed by Chloe Zhao, so I (and presumably many others) had hopes it could be something really good, and a breath of fresh air in the MCU.",Pos
"From the director of ""Nomadland"" which I truly enjoyed, I was expecting way more. Chloé Zhao won the Oscar for Best Motion Picture and she is good at telling some kind of stories, but her lack of experience with superhero movies is noticeable. This film is painfully slow and definitely too long, because some storylines take too much screen time. There were basically 7000 years of plot to cover, but the screenplay focuses on some useless story lines, that do not have any kind of impact on the plot. It needs to be heavily cut down. Another thing that I found really annoying is that the movie tells multiple times that ""Eternals"" is part of the MCU, like the audience is composed of a bunch of kids that cannot connect the dots. Disney has been building this narrative universe for more than 10 years. People got the fact that every movie or TV show that Marvel Studios releases is part of it, no need to reiterate. There was a lot of potential, but they did not explore these characters enough and by the end of it, I feel like I barely knew them, so I was not attached to any of them. The acting felt really flat, despite having some class A actors such as Angelina Jolie and Richard Madden. They were not at all convincing. I wonder who decided to hire Gemma Chang, because she portrays one of the most important characters, but she is the most unimpressive element of the cast.",Neg
"For starters, I'm a DC fan and I'll be honest, I was happy when I saw Eternals got the 'rotten rating' in Rotten Tomatoes but I really wanted to watch this cause I'm a fan of Chloe Zhao and I love her movies and her direction.",Pos
Nice movie. Im not sure why Im finding these recent Marvel movies better that most of the last pre-end game ones. Maybe just because Im hearing less favourable things about them and going in with lower expectations. Or it's just a style I like personally,Pos
"What were Marvel thinking, making this. Not one single redeeming feature. This is the only Marvel film I've ever walked out of. It is terrible in every way.",Neg
"Eternals sucked!!!!! It was the worst marvel movie to date!! There was some great actors and actresses in it, but they All were extremely terrible in this trash marvel movie. No one convinced me in their roles. The visual effects were good, but THE STORY LINE SUCKED, THE ACTING SUCKED!!!!!! I thought DC makes bad movies, but Marvel I'm so disappointed, and I was looking forward to watch Eternals.... then I finally watched it and WOW such a huge let down. I'm so glad that I didn't waist my money going to the movies to watch it.. thanks for streaming services!!",Neg
Terrible...watch as Disney destroys yet another classic. Terrible acting and continuity. Relying on pointless battles and CGI. Not recommended........,Neg
"After seeing the critic reviews, I was expecting a mixed bag from the movie when I walked in. Though, I'd still give it a chance as I'm a big fan of the MCU. If it's bad, whatever, I didn't care for the Eternals in the comics anyway.",Pos
Marvel tried way too hard on this overstuffed overlong mess. The acting was good but the actors where underused especially Jolie that's what you get when you have to much characters. The story dragged on and on especially the flash back scenes they could of cut them out completely. The story it self was also just meh and the villain was meh. The movie was just meh.,Neg
"This is going to be a biased review, plain and simple. Firstly I don't care about these (MCU) films anymore whatsoever, thought it would be better after ""Endgame"" to just stop the franchise. Why do they need to keep making films..............oh yeah for money.........my bad I just remembered. If I'm being honest I have been in the minority for a long time, the MCU to me is very hit and miss............although I never thought they could miss this poorly.",Neg
"The film is absolutely awful. The only way you wouldn't exit the theater early is because of spectacular visuals. The decent star cast did their bit well, but the storyline is just as good as watching a candle burn, bland and pointless. I was excited about its Diwali release, but the crackers here didn't burst at all. But yea, the visuals are good but the directing, storyline was below par.",Neg
"Not sure why this film is getting so much bad press, actually thought it was a nice departure from Marvel's usual fair. Visually very impressive, had some interesting themes of theology and some good gags. Less predictable than most of the recent marvel offerings.",Pos
"First of all, I'm going to have to watch this again. There is too much to unpack for just one viewing. There is so much exposition that I got confused often. Especially when bouncing between time periods. The cinematography was fantastic! The action was pretty good. Angelina Jolie was the highlight for me. Can't wait to see fight along side some Avengers. It would have a higher score if it was shorter, had better story flow, & more character balance. I mean, Kit Harrington is barely in it! Ends on a cliffhanger and shows clear direction for where they are going next. I just hope we get to see it!",Pos
"By casting an actress that has already played a major part in one of the films, the Marvel Cinematic Universe has run into a problem it frankly should've run into sooner, given the sheer size of it (just look at how quickly it happened with the poor saps at DC, casting Djimon Hounsou in two separate roles in films released not four months apart). We now have Gemma Chan, who played a Kree in Captain Marvel, in the role of a peaceful Eternal.",Neg
"2.5 hours is way too long for this lackluster of a script. I could go on for so long with items wrong with this movie but if you want to hear it deep and serious which Disney is what trying to do, then let me clearly state it...... it's a very ungodly movie from a spiritual point of view as well as morals and ethics. If you can't see this brainwashing and you find this just simple entertainment then you're the type of sheep that Disney loves. I will just stick with movies that just play simple fantasy fun super hero and not this intentional offense to my Christianity.",Neg
"Boring movie .unnatractive acting. Another Superhero movie lacking depth,complex characterization , or pulling in suspence.",Neg
"While this may not be the best Marvel has to offer it is still a great movie. Solid story line from beginning to end. However I do think that the movie would have done better had it been a stand alone movie & not part of the MCU, it being part of the MCU seems to make it more complicated & convoluted. This problem does seem to cause some plot holes that they try to cover or explain, but that's not truly enough for me. But on a good note, I do find the fighting very interesting to watch they seem to move different when you compare their style to that of Iron Man or Thor. In the end people can find problems in the characters , the plot or the message, just give it a chance & a watch.",Pos
"Eternals are a bunch of ancient super heroes put on earth thousands of years ago to save mankind from vicious monsters - deviants. After ridding the planet of the creatures, they are forced to come back together in the present day when the monsters start reappearing, seemingly with greater powers.",Neu
